"p.products_id";"products_quantity";"products_model";"products_price";"products_status";"products_ordered";"products_name";"products_description";"products_viewed";"m.manufacturers_name as marque";"p.gender as Gender";"p.gamme";"p.item_size";"p.type as Type";"products_image";"pd.products_id";"EAN";"frais_port"
"146622";"50";"159361";"44.13";"1";"8";"BLACK XS de Paco Rabanne 159361";"Eau de Toilette Vaporisateur 80 ml";"131";"Paco Rabanne";"Femmes";"BLACK XS";"80 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/159361.jpg";"http://www.parfumrama.com/product_info.php?products_id=146622";"159361";"14"
"1466221";"50";"1593611";"44.13";"1";"8";"BLACK XS de Paco Rabanne 1593611";"Eau de Toilette spray 80 ml";"131";"Paco Rabanne";"Femmes";"BLACK XS";"80 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/159361.jpg";"http://www.parfumrama.com/product_info.php?products_id=146622";"1593611";"14"
"146638";"50";"146980";"30.99";"1";"4";"BLACK XS de Paco Rabanne 146980";"Eau de Toilette Vaporisateur 50 ml";"93";"Paco Rabanne";"Hommes";"BLACK XS";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/146980.jpg";"http://www.parfumrama.com/product_info.php?products_id=146638";"146980";"14"
"1466381";"50";"1469801";"30.99";"1";"4";"BLACK XS de Paco Rabanne 1469801";"Eau de Toilette spray 50 ml";"93";"Paco Rabanne";"Hommes";"BLACK XS";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/146980.jpg";"http://www.parfumrama.com/product_info.php?products_id=146638";"1469801";"14"
"146639";"50";"146311";"40.8";"1";"3";"BLACK XS de Paco Rabanne 146311";"Eau de Toilette Vaporisateur 100 ml";"123";"Paco Rabanne";"Hommes";"BLACK XS";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/146311.jpg";"http://www.parfumrama.com/product_info.php?products_id=146639";"146311";"14"
"1466391";"50";"1463111";"40.8";"1";"3";"BLACK XS de Paco Rabanne 1463111";"Eau de Toilette spray 100 ml";"123";"Paco Rabanne";"Hommes";"BLACK XS";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/146311.jpg";"http://www.parfumrama.com/product_info.php?products_id=146639";"1463111";"14"
"146647";"50";"117371";"20.15";"1";"0";"PACO RABANNE de Paco Rabanne 117371";"Eau de Toilette Vaporisateur 30 ml";"73";"Paco Rabanne";"Hommes";"PACO RABANNE";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/117371.jpg";"http://www.parfumrama.com/product_info.php?products_id=146647";"117371";"14"
"1466471";"50";"1173711";"20.15";"1";"0";"PACO RABANNE de Paco Rabanne 1173711";"Eau de Toilette spray 30 ml";"73";"Paco Rabanne";"Hommes";"PACO RABANNE";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/117371.jpg";"http://www.parfumrama.com/product_info.php?products_id=146647";"1173711";"14"
"146650";"50";"126106";"36.62";"1";"0";"PACO RABANNE de Paco Rabanne 126106";"Eau de Toilette Vaporisateur 100 ml";"91";"Paco Rabanne";"Hommes";"PACO RABANNE";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126106.jpg";"http://www.parfumrama.com/product_info.php?products_id=146650";"126106";"14"
"1466501";"50";"1261061";"36.62";"1";"0";"PACO RABANNE de Paco Rabanne 1261061";"Eau de Toilette spray 100 ml";"91";"Paco Rabanne";"Hommes";"PACO RABANNE";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126106.jpg";"http://www.parfumrama.com/product_info.php?products_id=146650";"1261061";"14"
"146659";"50";"125568";"39.96";"1";"6";"ULTRAVIOLET de Paco Rabanne 125568";"Eau de Toilette Vaporisateur 100 ml";"101";"Paco Rabanne";"Hommes";"ULTRAVIOLET";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/125568.jpg";"http://www.parfumrama.com/product_info.php?products_id=146659";"125568";"14"
"1466591";"50";"1255681";"39.96";"1";"6";"ULTRAVIOLET de Paco Rabanne 1255681";"Eau de Toilette spray 100 ml";"101";"Paco Rabanne";"Hommes";"ULTRAVIOLET";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/125568.jpg";"http://www.parfumrama.com/product_info.php?products_id=146659";"1255681";"14"
"146664";"50";"126504";"36.62";"1";"12";"XS de Paco Rabanne 126504";"Eau de Toilette Vaporisateur 100 ml";"156";"Paco Rabanne";"Hommes";"XS";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126504.jpg";"http://www.parfumrama.com/product_info.php?products_id=146664";"126504";"14"
"1466641";"50";"1265041";"36.62";"1";"12";"XS de Paco Rabanne 1265041";"Eau de Toilette spray 100 ml";"156";"Paco Rabanne";"Hommes";"XS";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126504.jpg";"http://www.parfumrama.com/product_info.php?products_id=146664";"1265041";"14"
"155349";"24";"134636";"22.44";"1";"0";"PACO RABANNE POUR ELLE de Paco Rabanne 134636";"Eau de Parfum Vaporisateur 30 ml";"30";"Paco Rabanne";"Femmes";"PACO RABANNE POUR ELLE";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/134636.jpg";"http://www.parfumrama.com/product_info.php?products_id=155349";"134636";"14"
